-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: latitude  -5.16   longitude 105.11 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
T2M_RANGE         MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX           MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN           MERRA-2 Temperature at 2 Meters Minimum (C) 
WS2M              MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M              MERRA-2 Wind Direction at 2 Meters (Degrees) 
GWETTOP           MERRA-2 Surface Soil Wetness (1) 
PS                MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR       MERRA-2 Precipitation Corrected (mm/day) 
WSC               MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 0.6-m perennial groundcover (100%) (vegtype_7) 
-END HEADER-
YEAR,DOY,IMERG_PRECTOT,T2M_RANGE,T2M_MAX,T2M_MIN,WS2M,WD2M,GWETTOP,PS,PRECTOTCORR,WSC
2025,1,2.41,6.38,28.76,22.38,0.78,307.9,0.79,99.55,0.87,1.83
2025,2,9.38,7.19,31.44,24.25,0.68,332.3,0.79,99.51,6.45,1.41
2025,3,3.58,4.61,27.66,23.05,0.63,251.1,0.87,99.55,28.31,1.79
2025,4,4.6,8.38,31.58,23.2,0.58,278.7,0.8,99.56,0.01,1.54
2025,5,0.43,7.81,30.87,23.06,0.55,236.4,0.79,99.52,1.75,1.75
2025,6,17.16,7.52,30.6,23.08,0.56,256.5,0.8,99.55,4.55,1.78
2025,7,9.25,5.95,29.21,23.26,0.75,310.6,0.79,99.54,2.12,1.78
2025,8,41.72,5.15,28.69,23.54,1.04,321.5,0.88,99.52,33.22,2.17
2025,9,21.1,5.31,28.01,22.7,0.89,314.0,0.87,99.62,17.92,2.33
2025,10,2.22,7.68,30.37,22.69,1.03,321.9,0.83,99.72,1.29,2.2
2025,11,31.33,6.08,29.45,23.37,0.86,305.1,0.91,99.68,45.12,1.73
2025,12,12.61,6.89,30.07,23.18,0.39,246.2,0.92,99.51,30.68,1.44
2025,13,54.93,6.99,30.26,23.27,0.57,294.8,0.88,99.5,10.23,1.44
2025,14,44.11,5.9,28.92,23.02,0.43,269.8,0.95,99.61,55.23,1.22
2025,15,5.78,6.12,29.1,22.98,0.95,302.7,0.94,99.55,56.35,2.01
2025,16,37.26,5.53,29.3,23.77,0.69,307.8,0.96,99.52,54.9,1.61
2025,17,51.39,4.67,28.17,23.5,1.38,315.5,0.96,99.45,49.31,2.69
2025,18,2.12,5.36,28.88,23.52,1.22,315.6,0.95,99.36,15.88,2.49
2025,19,22.17,4.78,28.51,23.73,1.07,313.1,0.93,99.36,4.34,2.27
2025,20,6.05,4.55,27.43,22.88,1.24,317.3,0.93,99.42,2.61,2.71
2025,21,31.42,5.88,29.02,23.14,0.92,322.4,0.95,99.43,21.52,1.89
2025,22,12.69,5.4,29.07,23.67,0.77,329.8,0.93,99.5,2.62,1.69
2025,23,11.46,6.48,29.97,23.49,0.8,335.6,0.93,99.47,2.02,1.37
2025,24,19.63,4.76,28.85,24.09,0.66,349.3,0.93,99.39,11.2,1.33
2025,25,4.09,3.56,27.33,23.77,0.63,317.9,0.93,99.46,2.17,1.35
2025,26,2.58,4.56,27.43,22.87,0.53,263.1,0.93,99.42,4.41,1.61
2025,27,4.92,6.62,29.12,22.5,0.62,319.3,0.92,99.42,0.51,1.44
2025,28,3.98,6.16,29.86,23.7,1.42,338.4,0.92,99.54,6.74,2.61
2025,29,3.38,5.24,27.93,22.69,1.35,330.5,0.92,99.61,0.97,2.97
2025,30,0.26,5.65,28.82,23.17,1.42,331.7,0.91,99.44,1.52,3.04
2025,31,0.35,6.06,29.08,23.02,1.34,326.9,0.91,99.35,0.01,2.93
2025,32,0.11,7.08,29.44,22.36,1.36,323.0,0.9,99.34,0.1,3.03
2025,33,1.56,5.66,28.72,23.06,1.17,327.2,0.9,99.37,0.04,2.75
2025,34,0.99,6.16,29.58,23.42,1.0,318.6,0.9,99.49,0.0,2.03
2025,35,23.72,6.13,28.73,22.6,0.7,292.8,0.9,99.49,5.88,1.75
2025,36,0.24,6.17,29.11,22.94,1.12,318.3,0.9,99.39,0.81,2.54
2025,37,8.81,6.16,29.25,23.09,1.31,324.8,0.89,99.39,2.21,2.92
2025,38,14.22,5.46,29.26,23.8,1.14,339.4,0.92,99.48,23.72,2.3
2025,39,10.91,4.77,28.57,23.8,1.27,335.4,0.91,99.45,5.49,2.42
2025,40,0.0,4.83,28.36,23.53,1.12,329.6,0.9,99.54,0.39,2.37
2025,41,0.32,4.9,29.27,24.37,1.01,323.4,0.89,99.56,0.16,1.72
2025,42,2.06,5.95,29.21,23.26,0.71,303.5,0.89,99.7,0.0,1.51
2025,43,0.0,8.01,31.52,23.51,0.47,183.3,0.89,99.72,0.0,1.61
2025,44,0.16,6.43,29.52,23.09,0.69,209.1,0.89,99.68,7.1,2.0
2025,45,1.85,6.95,30.28,23.33,0.65,253.2,0.89,99.57,2.4,1.77
2025,46,0.0,5.11,28.63,23.52,0.62,296.5,0.89,99.56,0.86,1.37
2025,47,4.37,7.02,30.51,23.49,0.34,221.6,0.88,99.65,0.2,1.17
2025,48,18.15,5.34,28.32,22.98,0.51,323.9,0.91,99.75,23.79,1.39
2025,49,3.59,5.57,28.79,23.22,0.54,307.7,0.9,99.65,3.61,1.26
2025,50,9.82,5.09,27.47,22.38,0.95,320.2,0.93,99.67,28.66,2.15
2025,51,15.95,6.2,29.65,23.45,0.6,313.9,0.91,99.67,4.01,1.16
2025,52,48.21,4.34,27.84,23.5,0.51,298.9,0.94,99.71,51.67,0.96
2025,53,39.87,5.05,28.72,23.67,0.55,318.2,0.93,99.66,20.43,1.39
2025,54,32.44,3.21,25.71,22.5,0.94,315.6,0.94,99.8,16.08,1.92
2025,55,28.76,5.9,29.45,23.55,0.71,27.2,0.94,99.8,16.79,1.53
2025,56,0.64,6.11,28.8,22.69,0.86,317.9,0.92,99.85,0.23,2.04
2025,57,0.17,5.93,29.72,23.79,0.71,357.2,0.92,99.74,0.4,1.59
2025,58,5.95,8.03,30.11,22.08,0.95,350.7,0.94,99.63,24.74,2.0
2025,59,22.17,4.55,27.7,23.15,0.5,1.1,0.94,99.67,17.65,0.98
2025,60,0.12,6.75,30.61,23.86,0.49,52.2,0.93,99.5,4.48,1.11
2025,61,2.88,6.6,30.56,23.96,0.67,52.2,0.93,99.39,14.39,1.37
2025,62,10.88,5.76,30.82,25.06,0.57,13.0,0.93,99.38,6.03,1.15
2025,63,9.78,3.79,27.62,23.83,0.33,149.9,0.92,99.46,2.93,0.99
2025,64,2.13,6.65,29.95,23.3,0.84,103.6,0.92,99.47,0.8,1.81
2025,65,1.32,7.32,31.74,24.42,0.49,192.5,0.91,99.53,1.61,1.48
2025,66,4.24,7.27,30.9,23.63,0.86,218.9,0.91,99.44,1.1,2.45
2025,67,3.21,7.65,31.15,23.5,0.51,209.9,0.91,99.42,6.41,1.55
2025,68,0.23,6.95,30.47,23.52,0.67,327.6,0.9,99.59,0.14,1.58
2025,69,24.41,5.6,29.06,23.46,0.91,351.1,0.9,99.63,2.68,1.95
2025,70,28.65,6.31,30.61,24.3,0.68,354.7,0.92,99.49,15.64,1.49
2025,71,16.77,4.95,28.44,23.49,0.61,333.4,0.93,99.55,21.69,1.38
2025,72,3.3,6.64,30.47,23.83,0.7,315.0,0.91,99.49,1.85,1.61
2025,73,21.01,6.33,29.91,23.58,0.57,265.9,0.95,99.61,34.92,1.74
2025,74,0.68,5.15,28.59,23.44,0.48,334.0,0.92,99.61,0.0,0.99
2025,75,1.5,5.39,29.07,23.68,0.4,243.8,0.92,99.48,6.25,1.4
2025,76,30.07,4.66,27.65,22.99,1.12,334.8,0.93,99.53,15.48,2.52
2025,77,9.74,5.11,28.6,23.49,1.0,327.4,0.93,99.68,7.53,2.15
2025,78,35.7,5.6,29.19,23.59,0.75,324.6,0.93,99.8,10.2,1.52
2025,79,0.48,7.64,29.3,21.66,1.31,314.4,0.92,99.81,0.37,2.96
2025,80,0.93,6.54,29.77,23.23,1.28,319.1,0.91,99.76,0.17,2.43
2025,81,3.16,5.26,28.78,23.52,0.82,321.5,0.91,99.71,0.38,1.73
2025,82,4.12,5.25,28.79,23.54,0.84,312.5,0.91,99.64,1.04,1.91
2025,83,2.31,5.25,28.88,23.63,1.09,320.0,0.91,99.53,1.64,2.42
2025,84,0.09,5.67,29.3,23.63,1.03,324.4,0.9,99.32,2.01,2.28
2025,85,1.76,6.08,30.15,24.07,0.92,323.3,0.9,99.24,0.54,1.92
2025,86,10.85,5.65,29.81,24.16,0.78,312.9,0.91,99.27,9.59,1.47
2025,87,0.95,6.76,30.49,23.73,0.66,296.6,0.9,99.38,0.0,1.73
2025,88,4.36,6.55,30.18,23.63,0.39,283.9,0.89,99.49,0.4,1.24
2025,89,2.25,5.68,29.96,24.28,0.46,269.9,0.89,99.53,1.36,1.45
2025,90,0.83,5.79,29.94,24.15,0.57,318.1,0.89,99.49,0.48,1.32
2025,91,11.57,5.55,29.03,23.48,0.5,40.8,0.89,99.57,1.35,0.95
2025,92,10.18,6.08,30.06,23.98,0.57,336.8,0.92,99.62,21.95,1.3
2025,93,3.65,4.25,27.96,23.71,0.79,122.4,0.9,99.68,0.0,1.81
2025,94,0.56,4.75,27.55,22.8,0.57,219.1,0.9,99.62,5.6,1.56
2025,95,0.33,6.81,30.54,23.73,0.67,345.9,0.89,99.6,0.0,1.15
2025,96,22.27,4.96,28.51,23.55,0.55,137.6,0.9,99.69,12.8,1.53
2025,97,0.21,5.27,28.56,23.29,0.75,178.1,0.9,99.76,1.8,2.07
2025,98,0.0,5.33,28.46,23.13,0.74,183.7,0.89,99.76,0.15,1.77
2025,99,0.0,6.2,29.64,23.44,0.67,68.7,0.89,99.64,0.83,1.49
2025,100,3.65,6.43,29.91,23.48,0.63,121.7,0.88,99.53,0.0,1.4
2025,101,0.75,6.23,29.97,23.74,0.54,82.0,0.88,99.53,0.68,1.09
2025,102,2.1,4.74,28.88,24.14,0.57,81.8,0.88,99.61,5.06,1.0
2025,103,5.6,4.09,27.27,23.18,0.4,241.3,0.92,99.66,25.73,1.42
2025,104,0.81,5.4,29.18,23.78,0.45,219.2,0.89,99.6,0.04,1.46
2025,105,10.93,6.21,28.9,22.69,0.56,238.4,0.88,99.62,0.93,1.68
2025,106,1.28,6.8,30.51,23.71,0.47,242.6,0.89,99.56,5.65,1.5
2025,107,7.25,6.17,30.43,24.26,0.38,295.6,0.88,99.52,0.0,0.85
2025,108,43.9,3.72,27.85,24.13,0.6,331.8,0.91,99.52,20.55,1.55
2025,109,13.64,4.27,28.76,24.49,0.62,194.3,0.89,99.47,0.92,1.79
2025,110,19.73,5.38,28.83,23.45,0.65,268.7,0.9,99.6,8.15,1.68
2025,111,17.69,5.48,29.43,23.95,0.52,60.9,0.9,99.77,10.61,1.09
2025,112,2.93,5.58,29.34,23.76,0.52,255.6,0.89,99.73,0.8,1.64
2025,113,0.0,6.47,29.88,23.41,0.69,239.3,0.88,99.64,0.08,2.04
2025,114,0.34,5.95,30.65,24.7,0.46,308.4,0.88,99.6,0.02,0.94
2025,115,2.83,5.44,29.85,24.41,0.45,329.9,0.88,99.61,0.25,1.13
2025,116,0.0,6.04,29.52,23.48,0.55,193.3,0.87,99.62,0.3,1.68
2025,117,2.35,6.48,30.31,23.83,0.54,184.8,0.87,99.58,0.53,1.63
2025,118,0.0,7.65,29.98,22.33,0.84,173.0,0.87,99.53,0.44,2.16
2025,119,0.0,7.83,30.64,22.81,0.58,121.0,0.86,99.5,0.0,1.44
2025,120,0.0,7.61,30.43,22.82,0.87,115.6,0.86,99.55,0.5,1.97
2025,121,0.0,7.68,31.41,23.73,0.63,140.7,0.85,99.58,0.06,1.68
2025,122,0.04,8.17,31.35,23.18,0.79,190.3,0.85,99.52,1.08,2.2
2025,123,1.3,7.73,31.37,23.64,0.72,206.9,0.84,99.44,0.39,1.96
2025,124,0.0,7.02,31.71,24.69,0.59,136.6,0.84,99.45,0.0,1.42
2025,125,6.09,7.17,31.01,23.84,0.79,116.6,0.83,99.53,0.0,1.77
2025,126,0.0,6.72,30.8,24.08,0.84,158.0,0.83,99.51,0.0,1.98
2025,127,0.0,5.41,30.2,24.79,0.59,116.9,0.83,99.4,0.0,1.19
2025,128,0.0,6.44,30.46,24.02,0.59,120.6,0.82,99.47,0.4,1.45
2025,129,0.44,5.82,30.0,24.18,0.41,214.6,0.82,99.52,0.01,1.35
2025,130,0.0,6.4,31.02,24.62,0.57,174.2,0.81,99.44,0.17,1.52
2025,131,14.43,5.04,28.3,23.26,0.75,195.6,0.82,99.44,2.0,2.01
2025,132,25.23,7.02,31.12,24.1,0.52,225.4,0.86,99.39,23.27,1.23
2025,133,21.0,6.83,30.82,23.99,0.5,225.5,0.86,99.48,11.24,1.46
2025,134,1.43,5.28,30.25,24.97,0.58,112.0,0.83,99.55,0.01,1.46
2025,135,0.04,4.47,28.55,24.08,0.39,178.0,0.83,99.61,0.39,0.91
2025,136,3.44,4.52,28.67,24.15,0.43,157.1,0.86,99.57,16.15,1.35
2025,137,8.54,4.58,28.41,23.83,0.57,183.7,0.85,99.54,0.77,1.77
2025,138,1.63,6.55,30.6,24.05,0.54,233.8,0.83,99.55,0.03,1.01
2025,139,0.0,6.38,29.66,23.28,0.66,188.4,0.83,99.54,0.3,1.91
2025,140,0.0,6.51,29.97,23.46,0.81,166.7,0.82,99.5,0.0,1.86
2025,141,25.81,6.96,31.1,24.14,0.37,193.7,0.86,99.44,19.06,1.35
2025,142,24.51,6.08,29.4,23.32,0.72,299.1,0.89,99.4,22.76,1.46
2025,143,2.57,6.67,30.04,23.37,0.62,337.8,0.84,99.33,0.12,1.49
2025,144,13.26,5.55,30.09,24.54,0.96,317.3,0.84,99.3,2.23,2.19
2025,145,29.81,4.28,28.91,24.63,0.86,261.5,0.9,99.46,38.31,2.54
2025,146,2.21,6.12,29.14,23.02,0.57,290.6,0.87,99.56,0.04,1.38
2025,147,0.0,6.94,31.01,24.07,0.51,298.8,0.85,99.56,0.0,1.07
2025,148,0.67,6.68,31.28,24.6,0.38,148.3,0.85,99.6,1.19,1.22
2025,149,1.68,6.15,29.67,23.52,0.7,177.0,0.85,99.72,1.7,1.88
2025,150,0.0,6.14,30.61,24.47,0.68,121.2,0.84,99.74,0.0,1.5
2025,151,0.0,7.06,31.07,24.01,0.51,155.8,0.84,99.81,0.22,1.52
2025,152,7.22,5.35,29.09,23.74,0.51,163.4,0.83,99.83,0.01,1.27
2025,153,0.0,5.93,29.45,23.52,0.51,159.0,0.83,99.71,0.0,1.3
2025,154,0.0,7.36,31.14,23.78,0.55,165.7,0.82,99.69,0.1,1.55
2025,155,0.0,6.87,30.16,23.29,0.73,182.7,0.83,99.77,4.99,1.98
2025,156,0.0,6.35,29.98,23.63,0.75,170.9,0.83,99.71,1.56,1.95
2025,157,0.0,6.68,30.37,23.69,0.57,179.3,0.82,99.72,1.32,1.63
2025,158,0.0,6.92,29.92,23.0,0.83,212.5,0.81,99.74,0.05,2.29
2025,159,0.0,7.68,30.22,22.54,0.82,199.8,0.81,99.59,0.17,2.21
2025,160,0.0,6.18,30.18,24.0,0.73,200.4,0.8,99.51,0.0,1.95
2025,161,13.76,4.6,28.06,23.46,0.77,179.4,0.87,99.5,23.01,2.01
2025,162,0.96,5.36,30.25,24.89,0.67,130.8,0.82,99.43,0.0,1.72
2025,163,4.5,4.99,29.21,24.22,0.7,81.9,0.88,99.54,25.41,1.64
2025,164,1.38,6.15,30.0,23.85,0.97,121.6,0.84,99.64,0.0,2.26
2025,165,8.47,3.98,28.15,24.17,0.69,85.2,0.86,99.64,12.56,1.8
2025,166,4.78,5.27,29.19,23.92,0.69,83.7,0.9,99.58,28.85,1.82
2025,167,3.73,5.85,29.59,23.74,0.82,72.1,0.87,99.64,7.46,1.81
2025,168,0.0,5.95,29.68,23.73,0.39,100.1,0.87,99.72,12.71,1.13
2025,169,2.46,4.16,27.35,23.19,0.57,307.0,0.86,99.67,0.47,1.22
2025,170,4.15,4.51,27.4,22.89,0.47,125.3,0.86,99.71,0.87,1.02
2025,171,3.16,6.37,29.33,22.96,0.68,152.5,0.85,99.72,2.03,1.6
2025,172,4.98,6.23,28.59,22.36,0.52,185.8,0.85,99.76,0.0,1.61
2025,173,20.87,5.81,29.31,23.5,0.57,111.9,0.91,99.67,35.45,1.2
2025,174,9.1,5.08,28.85,23.77,0.6,73.6,0.88,99.65,4.56,1.68
2025,175,2.6,6.53,29.5,22.97,0.62,117.7,0.87,99.76,0.02,1.49
2025,176,0.05,5.46,29.16,23.7,0.84,175.1,0.86,99.78,0.0,2.25
2025,177,0.0,5.66,29.03,23.37,0.83,158.3,0.86,99.67,0.0,1.8
2025,178,0.95,6.14,29.12,22.98,0.73,145.9,0.85,99.65,0.08,1.81
2025,179,19.63,6.44,28.29,21.85,0.57,196.2,0.91,99.62,28.14,1.88
2025,180,18.03,7.02,29.02,22.0,0.62,168.7,0.87,99.53,0.19,1.74
2025,181,13.93,5.26,28.77,23.51,0.71,90.0,0.89,99.56,13.49,1.72
2025,182,0.0,5.93,29.52,23.59,0.55,105.7,0.9,99.65,15.19,1.42
2025,183,0.0,6.0,29.26,23.26,0.65,141.4,0.88,99.68,0.27,1.71
2025,184,5.27,5.64,28.89,23.25,0.69,180.5,0.87,99.68,0.66,1.42
2025,185,0.0,5.3,29.32,24.02,0.63,133.5,0.87,99.66,1.92,1.24
2025,186,37.67,3.52,26.36,22.84,0.67,17.7,0.87,99.64,3.0,1.68
2025,187,8.87,6.64,29.09,22.45,0.94,226.4,0.87,99.7,2.37,2.83
2025,188,9.79,5.3,27.65,22.35,0.63,163.4,0.87,99.7,3.38,1.57
2025,189,0.0,6.48,29.42,22.94,0.71,154.2,0.86,99.69,0.03,1.63
2025,190,0.0,7.0,29.95,22.95,0.63,159.1,0.86,99.6,0.67,1.71
2025,191,0.0,7.11,29.3,22.19,0.78,166.8,0.85,99.46,0.29,1.94
2025,192,0.0,6.68,29.85,23.17,0.65,140.9,0.85,99.52,0.13,1.63
2025,193,0.03,8.08,29.78,21.7,0.87,127.8,0.85,99.59,0.0,2.0
2025,194,0.0,6.68,30.07,23.39,0.83,137.2,0.84,99.64,0.35,2.13
2025,195,3.24,5.55,28.92,23.37,0.79,146.5,0.85,99.63,5.34,1.68
2025,196,1.13,5.64,29.01,23.37,0.74,251.2,0.84,99.66,0.0,2.05
2025,197,0.0,5.7,29.09,23.39,0.94,202.7,0.84,99.62,2.94,2.52
2025,198,1.85,6.67,29.31,22.64,0.83,181.3,0.84,99.62,0.0,2.2
2025,199,0.0,8.12,30.18,22.06,0.75,185.9,0.83,99.55,0.0,2.1
2025,200,0.0,7.24,28.95,21.71,0.98,184.6,0.82,99.45,0.0,2.51
2025,201,0.0,8.56,29.95,21.39,0.86,172.7,0.81,99.53,0.22,2.2
2025,202,0.0,7.91,30.11,22.2,0.84,118.1,0.81,99.56,0.0,2.1
2025,203,0.0,8.16,29.68,21.52,1.05,120.4,0.8,99.5,0.0,2.27
2025,204,0.0,7.73,29.69,21.96,0.77,134.9,0.8,99.46,0.0,1.89
2025,205,0.0,7.61,29.85,22.24,0.91,145.8,0.79,99.47,0.0,2.07
2025,206,0.0,6.56,30.21,23.65,0.86,109.5,0.79,99.54,0.47,2.17
2025,207,0.0,6.58,30.08,23.5,0.85,111.2,0.78,99.66,0.05,1.99
2025,208,25.06,5.94,29.82,23.88,0.58,143.7,0.78,99.69,0.29,1.64
2025,209,0.0,5.02,28.7,23.68,0.73,154.4,0.78,99.65,0.59,1.97
2025,210,0.0,5.91,29.85,23.94,0.98,123.0,0.78,99.6,0.42,2.09
2025,211,13.49,5.79,29.85,24.06,0.99,118.1,0.77,99.63,1.38,2.44
2025,212,0.5,5.89,29.65,23.76,1.12,97.7,0.8,99.58,8.3,2.65
2025,213,0.0,7.82,30.25,22.43,0.93,99.0,0.78,99.61,2.01,2.11
2025,214,0.0,7.37,30.67,23.3,0.78,85.9,0.76,99.64,0.01,1.85
2025,215,7.29,5.89,29.94,24.05,0.65,113.9,0.76,99.73,0.3,1.74
2025,216,4.65,7.18,29.85,22.67,0.64,124.6,0.75,99.76,0.17,1.6
2025,217,6.47,7.15,29.66,22.51,0.65,132.1,0.76,99.71,3.11,1.74
2025,218,1.48,7.59,30.75,23.16,0.75,133.5,0.74,99.6,0.0,1.57
2025,219,1.71,6.24,29.88,23.64,0.62,107.5,0.74,99.64,0.27,1.34
2025,220,0.0,6.47,29.93,23.46,0.57,141.0,0.73,99.76,0.09,1.52
2025,221,1.85,7.39,30.18,22.79,0.83,155.6,0.78,99.76,16.03,2.1
2025,222,0.0,5.81,29.28,23.47,0.92,174.5,0.76,99.69,0.64,2.12
2025,223,1.33,6.51,29.39,22.88,0.46,17.1,0.76,99.65,6.13,0.86
2025,224,18.37,6.81,29.08,22.27,0.63,123.2,0.75,99.72,1.94,1.26
2025,225,5.2,5.66,28.28,22.62,0.68,88.5,0.75,99.77,1.18,1.58
2025,226,5.85,7.22,29.42,22.2,0.91,125.5,0.73,99.69,0.29,2.17
2025,227,0.0,6.99,29.53,22.54,0.99,111.7,0.72,99.56,0.3,2.22
2025,228,0.02,7.04,29.68,22.64,0.99,90.7,0.84,99.55,30.06,2.45
2025,229,0.0,6.62,30.43,23.81,1.07,93.4,0.76,99.66,0.0,2.65
2025,230,26.7,5.58,28.85,23.27,0.96,77.3,0.78,99.79,9.01,2.18
2025,231,11.89,5.34,26.97,21.63,0.52,175.1,0.79,99.82,6.38,1.43
2025,232,0.19,8.87,30.43,21.56,0.52,176.1,0.76,99.77,0.09,1.31
2025,233,2.47,7.85,29.9,22.05,0.72,209.1,0.75,99.72,0.37,2.03
2025,234,0.0,8.11,30.8,22.69,0.61,182.0,0.74,99.63,0.18,1.72
2025,235,0.72,8.01,30.84,22.83,0.9,131.8,0.73,99.63,1.66,1.88
2025,236,1.01,7.31,30.58,23.27,0.6,134.0,0.73,99.72,0.98,1.36
2025,237,0.02,7.2,30.68,23.48,0.97,194.5,0.71,99.71,0.15,2.55
2025,238,0.04,7.39,29.95,22.56,0.95,165.9,0.71,99.68,0.14,1.9
2025,239,0.0,9.0,31.79,22.79,0.85,135.8,0.7,99.66,0.0,2.14
2025,240,5.99,7.12,29.51,22.39,0.97,167.9,0.71,99.73,2.36,2.42
2025,241,0.28,8.08,30.6,22.52,1.07,161.9,0.69,99.77,1.04,2.56
2025,242,17.23,7.57,30.95,23.38,0.99,126.8,0.68,99.69,0.0,2.29
2025,243,7.27,7.19,30.69,23.5,1.16,112.5,0.67,99.57,0.32,2.71
2025,244,3.99,7.13,30.28,23.15,1.09,113.4,0.82,99.55,38.28,2.61
2025,245,0.88,7.3,30.44,23.14,1.17,105.8,0.75,99.64,2.11,2.91
2025,246,5.79,7.24,30.49,23.25,1.39,109.7,0.76,99.69,10.68,3.3
2025,247,0.62,8.22,30.54,22.32,1.28,112.1,0.74,99.63,1.48,2.58
2025,248,0.44,8.18,31.26,23.08,0.88,107.0,0.72,99.69,2.38,2.12
2025,249,19.49,7.34,29.96,22.62,0.9,158.6,0.85,99.73,43.16,2.2
2025,250,0.03,7.38,30.3,22.92,0.59,103.9,0.8,99.68,4.58,1.35
2025,251,0.58,7.31,30.44,23.13,0.72,87.7,0.77,99.72,0.63,1.64
2025,252,5.4,7.34,29.8,22.46,0.75,113.0,0.76,99.75,0.99,1.56
2025,253,10.45,7.26,30.38,23.12,0.75,75.6,0.76,99.64,4.66,1.57
2025,254,0.33,5.53,28.71,23.18,0.52,160.1,0.76,99.69,2.63,1.33
2025,255,0.69,5.93,29.07,23.14,0.9,205.6,0.75,99.75,0.27,2.41
2025,256,0.0,8.08,31.39,23.31,0.97,206.5,0.73,99.76,0.0,2.64
2025,257,0.9,6.65,30.15,23.5,0.96,183.1,0.72,99.72,0.29,2.46
2025,258,0.01,6.88,30.38,23.5,0.94,158.7,0.72,99.72,0.0,2.29
2025,259,2.31,6.91,30.46,23.55,0.71,134.9,0.72,99.7,1.72,1.8
2025,260,24.29,5.94,29.5,23.56,0.74,145.1,0.72,99.72,0.57,1.78
2025,261,2.08,5.09,28.76,23.67,1.11,155.2,0.71,99.69,0.0,2.09
2025,262,18.8,6.85,30.44,23.59,0.75,114.9,0.77,99.71,16.02,1.93
2025,263,42.87,5.1,28.52,23.42,0.84,95.3,0.85,99.69,29.54,2.07
2025,264,17.84,7.76,30.37,22.61,0.87,89.9,0.79,99.7,3.65,1.94
2025,265,0.0,8.31,32.07,23.76,0.84,102.6,0.76,99.66,1.45,1.71
2025,266,0.0,9.05,31.68,22.63,0.64,127.6,0.75,99.65,0.18,1.22
